NWS ID,River,Location,Forecast Condition,Point Type,Observed Date (Day,Latest Flow,Latest Stage,Flood Stage,Bankfull Stage,HUC,State,HSA,Elevation,Forecast Group,Segment
mccn5,Mogollon Ck , Cliff  Nr,1,1,20.16,5,1.85,,6.9,15040001,NM,EPZ,5440,UPGILA,3
mcau1,Mud Ck , Scofield  Winter Quarters  Blo,1,1,20.16,e7,e2.12,,4.8,14060007,UT,SLC,7720,DUCHPR,28
moan2,Muddy , Moapa  Nr,1,1,20.15,45,1.9,,8,15010012,NV,VEF,1710,MUDLV,8
mudn2,Muddy , Glendale  Nr,1,1,20.16,41,7.39,21,17,15010012,NV,VEF,1460,MUDLV,9
mbwc2,Muddy Ck , Wolford Mtn Res  Blo,1,1,20.15,21,4.09,,8.5,14010001,CO,BOU,7380,COLKREM,22
mdcc2,Muddy Ck , Paonia Res  Blo,1,1,20.15,0,3.02,,7.2,14020004,CO,GJT,6400,GUN,23
mdcu1,Muddy Ck , Emery  Nr,1,1,20.15,e14,e3.31,,8.2,14070002,UT,SLC,6440,SANRAFDD,19
navc2,Navajo , Chromo  Nr  Oso Div Dam  Blo,1,1,20.16,32,1.01,,4,14080101,CO,GJT,7648,SANJUAN,3
mbla3,New , Bell Road,1,1,20.13,0,0.2,,9,15070102,AZ,PSR,1205,AGUAFRIA,15
mnra3,New , Glendale Ave,1,1,20.13,0,2.7,,5,15070102,AZ,PSR,1060,AGUAFRIA,16
nwra3,New , Rock Spgs  Nr,1,1,20.15,38,0.89,,8,15070102,AZ,PSR,2310,AGUAFRIA,12
bpnw4,New Fork , Big Piney  Nr,1,1,20.15,332,2.43,8,7,14040101,WY,RIW,6800,GREEN,3
somc2,Nf Gunnison , Somerset  Nr,1,1,20.15,e46,e1.35,8,7,14020004,CO,GJT,6280,GUN,25
lzrc2,North Fork Gunnison , Lazear  Nr  Mouth  Abv,1,1,20.15,e159,e3.10,,,14020004,CO,GJT,5100,GUN,26
nfvu1,North Fork Virgin , Springdale  Nr,1,1,20.16,180,8.26,17,16,15010008,UT,SLC,3970,VIRGIN,1
oaca3,Oak Ck , Cornville  Nr,1,1,20.15,42,2.03,8,7.5,15060202,AZ,FGZ,3470,VERDE,10
oaka3,Oak Ck , Sedona,1,1,20.16,48,2.52,14,13.5,15060202,AZ,FGZ,4169,VERDE,9
opdu1,Ogden , Pineview Dam  Blo  Huntsville  Nr,1,1,20.15,11,1.35,7.5,6.8,16020102,UT,SLC,4760,WEBER,21
ohoc2,Ohio Ck , Mouth  Abv,1,1,20.15,e18,e2.30,,5.7,14020002,CO,GJT,7770,GUN,6
orwa3,Oraibi Wash , Tolani Lake  Nr  Oraibi  N,1,1,,,,,M,15020012,AZ,FGZ,5025,LITCOL,24
pnta3,Pantano Wash , Vail  Nr,1,1,20.15,0,4.3,,8,15050302,AZ,TWC,3205,SANTACRZ,8
pwba3,Pantano Wash , Broadway Blvd,1,1,20.15,0,1.38,,15,15050302,AZ,TWC,2569,SANTACRZ,9
plfa3,Paria , Lees Ferry,1,1,20.15,11,4.52,,17.6,14070007,AZ,FGZ,3124,BILLPAR,1
